t=2026-03-27T00:41:20-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-27T00:41:20-0400 lvl=info msg="using configuration at default config path" path=/home/siqiouya/.config/ngrok/ngrok.yml
t=2026-03-27T00:41:20-0400 lvl=info msg="open config file" path=/home/siqiouya/.config/ngrok/ngrok.yml err=nil
t=2026-03-28T23:01:28-0400 lvl=info msg="join connections" obj=join id=871b858f0e02 l=127.0.0.1:8199 r=3.228.45.243:42148
t=2026-03-28T23:01:51-0400 lvl=info msg="join connections" obj=join id=c145fb0884a8 l=127.0.0.1:8199 r=3.228.45.243:47097
t=2026-03-28T23:01:53-0400 lvl=info msg="join connections" obj=join id=8cde50197cdd l=127.0.0.1:8199 r=3.228.45.243:55110
t=2026-03-28T23:01:54-0400 lvl=info msg="join connections" obj=join id=a41459d3ed37 l=127.0.0.1:8199 r=3.228.45.243:63404
t=2026-03-28T23:01:56-0400 lvl=info msg="join connections" obj=join id=b1bb525e4372 l=127.0.0.1:8199 r=3.228.45.243:19640
t=2026-03-28T23:01:57-0400 lvl=info msg="join connections" obj=join id=d7d1eb57ee3b l=127.0.0.1:8199 r=3.228.45.243:5413
t=2026-03-28T23:01:58-0400 lvl=info msg="join connections" obj=join id=b16a94095e0c l=127.0.0.1:8199 r=3.228.45.243:47486
t=2026-03-28T23:02:00-0400 lvl=info msg="join connections" obj=join id=5194b5614a57 l=127.0.0.1:8199 r=3.228.45.243:33818
t=2026-03-28T23:02:01-0400 lvl=info msg="join connections" obj=join id=7b0a4e6c7e42 l=127.0.0.1:8199 r=3.228.45.243:61198
t=2026-03-28T23:02:03-0400 lvl=info msg="join connections" obj=join id=fd94bdf204c4 l=127.0.0.1:8199 r=3.228.45.243:42757
t=2026-03-28T23:02:04-0400 lvl=info msg="join connections" obj=join id=907aca763929 l=127.0.0.1:8199 r=3.228.45.243:56205
t=2026-03-28T23:02:06-0400 lvl=info msg="join connections" obj=join id=2b91b9d8cd46 l=127.0.0.1:8199 r=3.228.45.243:29904
